id,event_date,event_name,category,place,location,point,start,end,start_mo,start_year,end_mo,end_year,lon,lat
714,2019-04-07,Bajki rozmaite,Inne przedstawienia, Rynek Główny 27 Krakow,"Piwnica Pod Baranami, 27, Rynek Główny, Stare Miasto, Kraków, małopolskie, 31-008, RP","[50.0616022, 19.9353977]",2019/04/07,,4,2019,,,50.0616022,19.9353977
715,2019-04-07,Ich geh' und suche,Inne przedstawienia, ul. Stradomska 4 Krakow,"4, Stradomska, Stradom, Stare Miasto, Kraków, małopolskie, 31-058, RP","[50.0537999, 19.9397399]",2019/04/07,,4,2019,,,50.0537999,19.9397399
716,2019-04-07,Konik Muzealny 2018/2019,"Wykłady, spacery i warsztaty artystyczne", pl. Szczepański 9 Krakow,"Muzeum Stanisława Wyspiańskiego, 9, Plac Szczepański, Stare Miasto, Kraków, małopolskie, 31-011, RP","[50.0633496, 19.935964]",2019/04/07,,4,2019,,,50.0633496,19.935964
718,2019-04-07,Wszystko o mężczyznach na Dużej Scene,Spektakle teatralne,"Teatr Ludowy, os. Teatralne 34","Teatr Ludowy, Teatralne, Nowa Huta, Kraków, małopolskie, RP","[50.0812597, 20.03340205]",2019/04/07,,4,2019,,,50.0812597,20.03340205
719,2019-04-07,Rodzinne wędrówki – aktywne zwiedzanie wystaw,Spacery i zwiedzanie, ul. Nadwiślańska 2 Krakow,"Nadwiślańska, Podgórze, Kraków, małopolskie, 30-527, RP","[50.048087, 19.9543259]",2019/04/07,,4,2019,,,50.048087,19.9543259
720,2019-04-07,"Sunrise, Frozen Night w RockShot Pub",Muzyka rozrywkowa, ul. Grodzka 42 Krakow,"42, Grodzka, Stare Miasto, Kraków, małopolskie, 31-044, RP","[50.0578489, 19.9382158]",2019/04/07,,4,2019,,,50.0578489,19.9382158
722,2019-04-07,Koncert wiosenny Zespołu Pieśni i Tańca Nowa Huta,Spektakle taneczne, al. Jana Pawła II 232 Krakow,"Marchewka Bistro, 232, Aleja Jana Pawła II, Mogiła, Nowa Huta, Kraków, małopolskie, 31-913, RP","[50.0702498, 20.034565]",2019/04/07,,4,2019,,,50.0702498,20.034565
724,2019-04-07,Jazz Band Młynarski-Masecki w Auditorium Maximum UJ,Muzyka rozrywkowa,"Auditorium Maximum UJ, ul. Krupnicza 35","Auditorium Maximum UJ, 33, Krupnicza, Piasek, Stare Miasto, Kraków, małopolskie, 31-121, RP","[50.06295055, 19.9251576564716]",2019/04/07,,4,2019,,,50.06295055,19.9251576564716
725,2019-04-04,Salvador Sobral w Studio,Muzyka rozrywkowa,"Klub Studio, ul. Budryka 4","Klub Studio, 4, Witolda Budryka, Miasteczko Studenckie AGH, Krowodrza, Kraków, małopolskie, 30-071, RP","[50.0680241, 19.9082544]",2019/04/04,,4,2019,,,50.0680241,19.9082544
726,2019-04-02-2019-04-04,Książka w ciemno 2019,Akcje czytelnicze,"Uniwersytet Ekonomiczny, ul. Rakowicka 27","Uniwersytet Ekonomiczny, Rakowicka, Warszawskie, Prądnik Czerwony, Kraków, małopolskie, 31-511, RP","[50.0683711, 19.9526646]",2019/04/02,2019/04/04,4,2019,4.0,2019.0,50.0683711,19.9526646
727,2019-04-04,Marilyn Monroe - kolejne biografie,Muzyka rozrywkowa,"Teatr Ludowy, os. Teatralne 34","Teatr Ludowy, Teatralne, Nowa Huta, Kraków, małopolskie, RP","[50.0812597, 20.03340205]",2019/04/04,,4,2019,,,50.0812597,20.03340205
728,2019-04-04,Musica – ars amanda: Portrety kompozytorów,Muzyka klasyczna, ul. Zwierzyniecka 1 Krakow,"Filharmonia Krakowska imienia Karola Szymanowskiego, 1, Zwierzyniecka, Nowy Świat, Stare Miasto, Kraków, małopolskie, 31-103, RP","[50.05885215, 19.9327404472737]",2019/04/04,,4,2019,,,50.05885215,19.9327404472737
729,2019-04-04,Goethe-Kino: „Königin von Niendorf”,Pokazy filmowe,"Goethe-Institut Krakau, Rynek Główny 20","Goethe Institut, 20, Rynek Główny, Stare Miasto, Kraków, małopolskie, 31-005, RP","[50.060868, 19.9367283]",2019/04/04,,4,2019,,,50.060868,19.9367283
730,2019-04-04,Tochman w Krakowie,Spotkania i wykłady literackie,"Międzynarodowe Centrum Kultury, Rynek Główny 25","Międzynarodowe Centrum Kultury, 25, Rynek Główny, Stare Miasto, Kraków, małopolskie, 31-008, RP","[50.061169, 19.9356011]",2019/04/04,,4,2019,,,50.061169,19.9356011
731,2019-04-04,Sol Invictus,Spektakle teatralne,"Teatr Barakah, ul. Paulińska 28","Teatr Barakah, Paulińska, Kazimierz, Stare Miasto, Kraków, małopolskie, 31-065, RP","[50.0501923, 19.9404723]",2019/04/04,,4,2019,,,50.0501923,19.9404723
732,2019-04-04,„Uczone kobiety z rodu Skłodowskich”,Spotkania i wykłady literackie,"Antykwariat Abecadło, ul. Kościuszki 18","Antykwariat Abecadło, 18, Tadeusza Kościuszki, Półwsie Zwierzynieckie, Zwierzyniec, Kraków, małopolskie, 30-105, RP","[50.0542553, 19.9253577]",2019/04/04,,4,2019,,,50.0542553,19.9253577
733,2019-04-04,Z muzyką od poczęcia,Pozostałe,"Opera Krakowska, ul. Lubicz 48","Opera Krakowska, 48, Lubicz, Wesoła, Grzegórzki, Kraków, małopolskie, 31-512, RP","[50.065927, 19.9561894373848]",2019/04/04,,4,2019,,,50.065927,19.9561894373848
734,2019-04-06,Festiwal Gitary w Dworku Białoprądnickim,Targi i kiermasze, ul. Papiernicza 2 Krakow,"Restauracja Dwór Kościuszko, 2, Papiernicza, Prądnik Biały, Kraków, małopolskie, 31-221, RP","[50.0917106, 19.9405208]",2019/04/06,,4,2019,,,50.0917106,19.9405208
735,2019-04-06,"SPA, czyli Salon Ponętnych Alternatyw",Spektakle teatralne, al. Jana Pawła II 232 Krakow,"Marchewka Bistro, 232, Aleja Jana Pawła II, Mogiła, Nowa Huta, Kraków, małopolskie, 31-913, RP","[50.0702498, 20.034565]",2019/04/06,,4,2019,,,50.0702498,20.034565
736,2019-04-06,PRO8L3M: Widmo Tour,Muzyka rozrywkowa,"Klub Studio, ul. Budryka 4","Klub Studio, 4, Witolda Budryka, Miasteczko Studenckie AGH, Krowodrza, Kraków, małopolskie, 30-071, RP","[50.0680241, 19.9082544]",2019/04/06,,4,2019,,,50.0680241,19.9082544
737,2019-04-06,Punky Reggae live 2019,Muzyka rozrywkowa, al. 3 Maja 5 Krakow,"Centrum Kultury  Rotunda, 5, Aleja 3 Maja, Półwsie Zwierzynieckie, Zwierzyniec, Kraków, małopolskie, 30-063, RP","[50.0603635, 19.9212336]",2019/04/06,,4,2019,,,50.0603635,19.9212336
738,2019-04-06,58.Nowa Huta. Dlaczego nie?! Świat według Hanny Chrzanowskiej,Inne koncerty, ul. Obrońców Krzyża 1 Krakow,"Obrońców Krzyża, Bieńczyce, Kraków, małopolskie, 31-828, RP","[50.0879238, 20.0276508]",2019/04/06,,4,2019,,,50.0879238,20.0276508
740,2019-04-02,Kto pocieszy pechowego nosorożca?,Spektakle teatralne, ul. Skarbowa 2 Krakow,"Teatr Groteska, 2, Skarbowa, Piasek, Stare Miasto, Kraków, małopolskie, 31-121, RP","[50.0631883, 19.9265845]",2019/04/02,,4,2019,,,50.0631883,19.9265845
742,2019-04-02,Pyza za wielką wodą,Spektakle teatralne,"Teatr Ludowy, os. Teatralne 34","Teatr Ludowy, Teatralne, Nowa Huta, Kraków, małopolskie, RP","[50.0812597, 20.03340205]",2019/04/02,,4,2019,,,50.0812597,20.03340205
743,2019-04-02,The Young Gods w Kwadracie,Muzyka rozrywkowa, ul. Skarżyńskiego 1 Krakow,"Skarżyńskiego, Stanisława Skarżyńskiego, Osiedle Dywizjonu 303, Czyżyny, Kraków, małopolskie, 31-866, RP","[50.0839729, 19.9965092]",2019/04/02,,4,2019,,,50.0839729,19.9965092
745,2019-03-30-2019-03-31,8. Krakowski Festiwal Komiksu,Festiwale literackie,"Arteteka Wojewódzkiej Biblioteki Publicznej, ul. Rajska 12","Arteteka Wojewódzkiej Biblioteki Publicznej, 12, Rajska, Piasek, Stare Miasto, Kraków, małopolskie, 31-124, RP","[50.0642955, 19.9299277]",2019/03/30,2019/03/31,3,2019,3.0,2019.0,50.0642955,19.9299277
747,2019-03-31,"Decapitated, Baest, Mentor w ZetPeTe",Muzyka rozrywkowa, ul. Dolnych Młynów 10 Krakow,"Dolnych Młynów, Piasek, Stare Miasto, Kraków, małopolskie, 31-127, RP","[50.0649239, 19.9274825]",2019/03/31,,3,2019,,,50.0649239,19.9274825
748,2019-03-31,"Incantation, Defeated Sanity, Skinned w Kwadracie",Muzyka rozrywkowa, ul. Skarżyńskiego 1 Krakow,"Skarżyńskiego, Stanisława Skarżyńskiego, Osiedle Dywizjonu 303, Czyżyny, Kraków, małopolskie, 31-866, RP","[50.0839729, 19.9965092]",2019/03/31,,3,2019,,,50.0839729,19.9965092
749,2019-03-31,#opera,Spotkania i slajdowiska,"Opera Krakowska, ul. Lubicz 48","Opera Krakowska, 48, Lubicz, Wesoła, Grzegórzki, Kraków, małopolskie, 31-512, RP","[50.065927, 19.9561894373848]",2019/03/31,,3,2019,,,50.065927,19.9561894373848
750,2019-04-03,Muzeum w mieście. Miasto w muzeum,"Wykłady, spacery i warsztaty artystyczne","Pałac Krzysztofory, Rynek Główny 35","Pałac Pod Krzysztofory, 35, Rynek Główny, Stare Miasto, Kraków, małopolskie, 31-013, RP","[50.0628919, 19.9363629584546]",2019/04/03,,4,2019,,,50.0628919,19.9363629584546
751,2019-04-03,Niezbędnik Religioznawczy – Dyskusyjny Klub Filmowy,Cykle filmowe, ul. Krupnicza 38 Krakow,"Paradox, 38, Krupnicza, Piasek, Stare Miasto, Kraków, małopolskie, 31-121, RP","[50.0627251, 19.9265814]",2019/04/03,,4,2019,,,50.0627251,19.9265814
752,2019-04-03,Rozmowy o Człowieku 2019,Spotkania i wykłady literackie, ul. Sławkowska 17 Krakow,"Polska Akademia Umiejętności, 17, Sławkowska, Stare Miasto, Kraków, małopolskie, 31-016, RP","[50.0644043, 19.938196]",2019/04/03,,4,2019,,,50.0644043,19.938196
753,2019-03-31,Świadkowie,Spektakle teatralne,"Teatr Barakah, ul. Paulińska 28","Teatr Barakah, Paulińska, Kazimierz, Stare Miasto, Kraków, małopolskie, 31-065, RP","[50.0501923, 19.9404723]",2019/03/31,,3,2019,,,50.0501923,19.9404723
754,2019-03-31,Akt równoległy,Spektakle teatralne,"Teatr Ludowy, os. Teatralne 34","Teatr Ludowy, Teatralne, Nowa Huta, Kraków, małopolskie, RP","[50.0812597, 20.03340205]",2019/03/31,,3,2019,,,50.0812597,20.03340205
755,2019-03-31,Przygody Lisa Witalisa,Inne przedstawienia, Rynek Główny 27 Krakow,"Piwnica Pod Baranami, 27, Rynek Główny, Stare Miasto, Kraków, małopolskie, 31-008, RP","[50.0616022, 19.9353977]",2019/03/31,,3,2019,,,50.0616022,19.9353977
758,2019-03-31,Koncert piosenki włoskiej,Muzyka rozrywkowa, ul. Zwierzyniecka 1 Krakow,"Filharmonia Krakowska imienia Karola Szymanowskiego, 1, Zwierzyniecka, Nowy Świat, Stare Miasto, Kraków, małopolskie, 31-103, RP","[50.05885215, 19.9327404472737]",2019/03/31,,3,2019,,,50.05885215,19.9327404472737
759,2019-03-31,Michał Bajor,Muzyka rozrywkowa,"Teatr im. Juliusza Słowackiego, pl. Świętego Ducha 1","Teatr im. Juliusza Słowackiego, 1, Plac Świętego Ducha, Stare Miasto, Kraków, małopolskie, 31-023, RP","[50.0639468, 19.9430659438399]",2019/03/31,,3,2019,,,50.0639468,19.9430659438399
760,2019-03-31,"Nowa Polska: Mchy i Porosty, We Will Fail",Muzyka rozrywkowa,"Małopolski Ogród Sztuki, ul. Rajska 12","Małopolski Ogród Sztuki, 12, Rajska, Piasek, Stare Miasto, Kraków, małopolskie, 31-124, RP","[50.06427485, 19.929810871176]",2019/03/31,,3,2019,,,50.06427485,19.929810871176
761,2019-03-31,Koncert charytatywny z okazji Światowego Dnia Kota,Inne koncerty,"Piwnica Pod Baranami, Rynek Główny 27","Piwnica Pod Baranami, 27, Rynek Główny, Stare Miasto, Kraków, małopolskie, 31-008, RP","[50.0616022, 19.9353977]",2019/03/31,,3,2019,,,50.0616022,19.9353977
