,x,y,distance,source,airline
42728,3.2719083,-9.594424,1281.541039567221,VLI,NF
43213,4.0817733,-16.604519,1461.2107347843462,PVG,NH
13783,-4.360318,36.858345,343.97365255127653,YYZ,AZ
25246,-14.703658,23.893148,636.3291442642529,MDW,FL
25093,-17.170805,5.101317,905.0053342261376,GSP,FL
36961,5.3436127,20.808508,622.7660519319492,XIY,KL
43205,4.7939425,28.419409,442.54572704468563,PEK,NH
19428,5.541168,-20.770658,1557.7760775348488,XMN,CZ
48345,4.8216476,5.199708,954.7003987489097,RPR,S2
11980,-12.634939,30.185001,543.1892787392358,SFO,AS
16161,5.381427,-3.617913,1129.7435924313017,CKG,CA
40968,3.6223724,30.762056,357.12997516188005,TRV,MJ
37617,-8.431461,32.675907,463.6415206729853,CLO,LA
11101,-0.79236096,39.894863,212.5063997725279,MEX,AM
66670,5.4017544,-0.26735938,1060.4416338276064,CAN,ZH
25204,18.485535,-37.567795,2406.3504996457586,MCI,FL
20635,0.5363578,40.595722,119.16635802872096,DTW,DL
7865,-16.529688,12.9754505,784.3240385024877,DCA,AC
6781,19.522709,-38.543556,2503.6011471694546,SFO,AA
59793,-12.835874,-5.514497,1108.1397811183788,MKE,US
48566,12.061899,-35.112785,2098.1697369452195,DUS,S7
56591,-16.445374,2.0694315,956.3629597931964,HSV,UA
24853,6.203241,-31.635519,1821.0126873139563,ALB,FL
18862,4.7251253,-6.123068,1192.2508127533345,NKG,CZ
10912,-1.2604773,40.09046,223.68390555831874,CEN,AM
18842,6.660074,-22.516205,1619.0875330527128,NGB,CZ
