,Source,Dest,SourceID,DestID,SourceLon,DestLon,SourceLat,DestLat
7851,CLT,YYZ,3876,193,-80.94309997558594,-79.63059997559999,35.2140007019043,43.6772003174
7867,DEL,BRU,3093,302,77.103104,4.48443984985,28.5665,50.9014015198
7868,DEN,ATL,3751,3682,-104.672996521,-84.428101,39.861698150635,33.6367
7934,IAH,YYZ,3550,193,-95.34140014648438,-79.63059997559999,29.98439979553223,43.6772003174
7935,ICN,BKK,3930,3885,126.45099639892578,100.74700164794922,37.46910095214844,13.681099891662598
7942,JFK,YYZ,3797,193,-73.77890015,-79.63059997559999,40.63980103,43.6772003174
7996,NRT,BKK,2279,3885,140.386001587,100.74700164794922,35.764701843299996,13.681099891662598
8061,VIE,YYZ,1613,193,16.569700241089002,-79.63059997559999,48.110298156738004,43.6772003174
8389,YYZ,ATL,193,3682,-79.63059997559999,-84.428101,43.6772003174,33.6367
8393,YYZ,BCN,193,1218,-79.63059997559999,2.0784599999999998,43.6772003174,41.2971
8404,YYZ,CLT,193,3876,-79.63059997559999,-80.94309997558594,43.6772003174,35.2140007019043
8426,YYZ,IAH,193,3550,-79.63059997559999,-95.34140014648438,43.6772003174,29.98439979553223
8429,YYZ,JFK,193,3797,-79.63059997559999,-73.77890015,43.6772003174,40.63980103
8472,YYZ,VIE,193,1613,-79.63059997559999,16.569700241089002,43.6772003174,48.110298156738004
8999,AMS,KUL,580,3304,4.76389,101.70999908446998,52.308601,2.7455799579619997
9008,AMS,TPE,580,2276,4.76389,121.233002,52.308601,25.0777
9031,ATL,BRU,3682,302,-84.428101,4.48443984985,33.6367,50.9014015198
9044,ATL,CLT,3682,3876,-84.428101,-80.94309997558594,33.6367,35.2140007019043
9056,ATL,DEN,3682,3751,-84.428101,-104.672996521,33.6367,39.861698150635
9057,ATL,DFW,3682,3670,-84.428101,-97.038002,33.6367,32.896801
9062,ATL,DUS,3682,345,-84.428101,6.766780000000001,33.6367,51.289501
9067,ATL,EWR,3682,3494,-84.428101,-74.168701171875,33.6367,40.69250106811523
9070,ATL,FCO,3682,1555,-84.428101,12.238888900000001,33.6367,41.800277799999996
9073,ATL,FRA,3682,340,-84.428101,8.570556,33.6367,50.033333
9088,ATL,IAH,3682,3550,-84.428101,-95.34140014648438,33.6367,29.98439979553223
9094,ATL,JFK,3682,3797,-84.428101,-73.77890015,33.6367,40.63980103
9095,ATL,LAS,3682,3877,-84.428101,-115.15200039999999,33.6367,36.08010101
9096,ATL,LAX,3682,3484,-84.428101,-118.40799709999999,33.6367,33.94250107
9100,ATL,LHR,3682,507,-84.428101,-0.461941,33.6367,51.4706
9102,ATL,MAD,3682,1229,-84.428101,-3.56264,33.6367,40.471926
9103,ATL,MAN,3682,478,-84.428101,-2.2749500274658203,33.6367,53.35369873046875
9109,ATL,MEX,3682,1824,-84.428101,-99.072098,33.6367,19.4363
9112,ATL,MIA,3682,3576,-84.428101,-80.29060363769531,33.6367,25.79319953918457
9122,ATL,MUC,3682,346,-84.428101,11.7861,33.6367,48.353802
9128,ATL,ORD,3682,3830,-84.428101,-87.9048,33.6367,41.9786
9133,ATL,PHL,3682,3752,-84.428101,-75.24109649658203,33.6367,39.87189865112305
9134,ATL,PHX,3682,3462,-84.428101,-112.01200103759766,33.6367,33.43429946899414
9152,ATL,SFO,3682,3469,-84.428101,-122.375,33.6367,37.61899948120117
9174,ATL,YYZ,3682,193,-84.428101,-79.63059997559999,33.6367,43.6772003174
9183,BCN,JFK,1218,3797,2.0784599999999998,-73.77890015,41.2971,40.63980103
9233,BRU,ATL,302,3682,4.48443984985,-84.428101,50.9014015198,33.6367
9234,BRU,JFK,302,3797,4.48443984985,-73.77890015,50.9014015198,40.63980103
9250,CAN,CKG,3370,3393,113.29900360107422,106.64199829101562,23.39240074157715,29.719200134277344
9251,CAN,HGH,3370,3386,113.29900360107422,120.43399810791016,23.39240074157715,30.22949981689453
9253,CAN,SIN,3370,3316,113.29900360107422,103.994003,23.39240074157715,1.35019
9309,CDG,EWR,1382,3494,2.55,-74.168701171875,49.012798,40.69250106811523
9380,CDG,PHL,1382,3752,2.55,-75.24109649658203,49.012798,39.87189865112305
9430,CKG,CAN,3393,3370,106.64199829101562,113.29900360107422,29.719200134277344,23.39240074157715
9435,CLT,ATL,3876,3682,-80.94309997558594,-84.428101,35.2140007019043,33.6367
9463,DEN,ATL,3751,3682,-104.672996521,-84.428101,39.861698150635,33.6367
9464,DFW,ATL,3670,3682,-97.038002,-84.428101,32.896801,33.6367
9485,DUS,ATL,345,3682,6.766780000000001,-84.428101,51.289501,33.6367
9502,EWR,ATL,3494,3682,-74.168701171875,-84.428101,40.69250106811523,33.6367
9503,EWR,CDG,3494,1382,-74.168701171875,2.55,40.69250106811523,49.012798
9511,FCO,ATL,1555,3682,12.238888900000001,-84.428101,41.800277799999996,33.6367
9532,FRA,ATL,340,3682,8.570556,-84.428101,50.033333,33.6367
9535,FRA,JFK,340,3797,8.570556,-73.77890015,50.033333,40.63980103
9579,IAH,ATL,3550,3682,-95.34140014648438,-84.428101,29.98439979553223,33.6367
9592,JFK,ATL,3797,3682,-73.77890015,-84.428101,40.63980103,33.6367
9593,JFK,BCN,3797,1218,-73.77890015,2.0784599999999998,40.63980103,41.2971
9597,JFK,FRA,3797,340,-73.77890015,8.570556,40.63980103,50.033333
9598,JFK,LHR,3797,507,-73.77890015,-0.461941,40.63980103,51.4706
9599,JFK,MAD,3797,1229,-73.77890015,-3.56264,40.63980103,40.471926
9611,KMG,CAN,3382,3370,102.9291667,113.29900360107422,25.101944399999997,23.39240074157715
9613,KUL,AMS,3304,580,101.70999908446998,4.76389,2.7455799579619997,52.308601
9619,LAS,ATL,3877,3682,-115.15200039999999,-84.428101,36.08010101,33.6367
9620,LAX,ATL,3484,3682,-118.40799709999999,-84.428101,33.94250107,33.6367
9647,LHR,ATL,507,3682,-0.461941,-84.428101,51.4706,33.6367
9651,LHR,JFK,507,3797,-0.461941,-73.77890015,51.4706,40.63980103
9698,MAD,ATL,1229,3682,-3.56264,-84.428101,40.471926,33.6367
9700,MAD,JFK,1229,3797,-3.56264,-73.77890015,40.471926,40.63980103
9702,MAN,ATL,478,3682,-2.2749500274658203,-84.428101,53.35369873046875,33.6367
9716,MIA,ATL,3576,3682,-80.29060363769531,-84.428101,25.79319953918457,33.6367
9774,MUC,ATL,346,3682,11.7861,-84.428101,48.353802,33.6367
9834,ORD,ATL,3830,3682,-87.9048,-84.428101,41.9786,33.6367
9877,PHL,ATL,3752,3682,-75.24109649658203,-84.428101,39.87189865112305,33.6367
9878,PHL,CDG,3752,1382,-75.24109649658203,2.55,39.87189865112305,49.012798
9879,PHX,ATL,3462,3682,-112.01200103759766,-84.428101,33.43429946899414,33.6367
